 Parton Distribution Table : CTEQ4F3                               
  Ordr, Nfl, lambda        Qmass 1,  2,  3,         4,  5,  6
    2.    3. 0.3850    0.000    0.000    0.200    1.600    5.000  180.000
   NX,  NT,  NfMx
   90   13    3
QINI, QMAX, (QV(I), I =0, NT)
 1.60000E+00 1.00000E+04
 1.60000E+00 2.01872E+00 2.64549E+00 3.62326E+00 5.22375E+00 7.99453E+00
 1.31148E+01 2.33244E+01 4.55683E+01 9.93065E+01 2.45754E+02 7.05085E+02
 2.40258E+03 1.00000E+04
XMIN, (XV(I), I =0, NX)
 1.00000E-05
 0.00000E+00 9.99983E-06 1.24433E-05 1.54836E-05 1.92668E-05 2.39740E-05
 2.98310E-05 3.71184E-05 4.61852E-05 5.74656E-05 7.14994E-05 8.89575E-05
 1.10674E-04 1.37686E-04 1.71280E-04 2.13055E-04 2.64997E-04 3.29564E-04
 4.09809E-04 5.09508E-04 6.33332E-04 7.87053E-04 9.77784E-04 1.21428E-03
 1.50728E-03 1.86993E-03 2.31825E-03 2.88037E-03 3.56397E-03 4.40443E-03
 5.43508E-03 6.69508E-03 8.22984E-03 1.00851E-02 1.23281E-02 1.50167E-02
 1.82174E-02 2.19985E-02 2.64278E-02 3.15720E-02 3.74800E-02 4.42088E-02
 5.17931E-02 6.02576E-02 6.96136E-02 7.98586E-02 9.09356E-02 1.02935E-01
 1.15681E-01 1.29293E-01 1.43599E-01 1.58606E-01 1.74271E-01 1.90550E-01
 2.07405E-01 2.24796E-01 2.42685E-01 2.61038E-01 2.79820E-01 2.99001E-01
 3.18550E-01 3.38442E-01 3.58653E-01 3.79067E-01 3.99881E-01 4.20953E-01
 4.42266E-01 4.63806E-01 4.85559E-01 5.07513E-01 5.29656E-01 5.51978E-01
 5.74483E-01 5.97187E-01 6.19860E-01 6.42828E-01 6.65921E-01 6.89135E-01
 7.12467E-01 7.35911E-01 7.59464E-01 7.83080E-01 8.06909E-01 8.30741E-01
 8.54673E-01 8.78696E-01 9.02804E-01 9.26992E-01 9.51257E-01 9.75603E-01
 1.00000E+00
Parton Distribution Table:
 1.21333E+05 5.16877E+04 3.99506E+04 3.08789E+04 2.38672E+04 1.84479E+04
 1.42591E+04 1.10216E+04 8.51929E+03 6.58520E+03 5.09029E+03 3.93484E+03
 3.04175E+03 2.35146E+03 1.81790E+03 1.40549E+03 1.08671E+03 8.40304E+02
 6.49835E+02 5.02601E+02 3.88786E+02 3.00800E+02 2.32778E+02 1.80188E+02
 1.39526E+02 1.08084E+02 8.37679E+01 6.47270E+01 5.02362E+01 3.90225E+01
 3.03424E+01 2.36210E+01 1.84142E+01 1.43892E+01 1.12587E+01 8.82948E+00
 6.94219E+00 5.47375E+00 4.32906E+00 3.43433E+00 2.73408E+00 2.18337E+00
 1.74892E+00 1.40482E+00 1.13117E+00 9.12640E-01 7.38013E-01 5.96560E-01
 4.82988E-01 3.90410E-01 3.15531E-01 2.54622E-01 2.05031E-01 1.64645E-01
 1.31771E-01 1.05046E-01 8.33624E-02 6.58176E-02 5.16703E-02 4.03096E-02
 3.12303E-02 2.40137E-02 1.83126E-02 1.38576E-02 1.03663E-02 7.67190E-03
 5.61168E-03 4.05242E-03 2.88557E-03 2.02319E-03 1.39458E-03 9.43337E-04
 6.24707E-04 4.03814E-04 2.55184E-04 1.56067E-04 9.22879E-05 5.24979E-05
 2.85474E-05 1.47225E-05 7.12803E-06 3.20153E-06 1.30263E-06 4.71708E-07
 1.45943E-07 3.64250E-08 6.66022E-09 7.44710E-10 3.39397E-11 1.72231E-13
 0.00000E+00 1.09116E+05 8.46727E+04 6.48595E+04 4.96759E+04 3.80514E+04
 2.91427E+04 2.23224E+04 1.70956E+04 1.30942E+04 1.00278E+04 7.68033E+03
 5.88149E+03 4.50451E+03 3.44937E+03 2.64174E+03 2.02290E+03 1.54927E+03
 1.18636E+03 9.08630E+02 6.95842E+02 5.33011E+02 4.08263E+02 3.12805E+02
 2.39674E+02 1.83712E+02 1.40843E+02 1.08045E+02 8.26042E+01 6.34478E+01
 4.87633E+01 3.75209E+01 2.88989E+01 2.22929E+01 1.72355E+01 1.33460E+01
 1.03569E+01 8.06054E+00 6.29076E+00 4.92643E+00 3.87004E+00 3.05226E+00
 2.41504E+00 1.91759E+00 1.52710E+00 1.21973E+00 9.76330E-01 7.83724E-01
 6.28920E-01 5.05807E-01 4.06188E-01 3.26301E-01 2.61766E-01 2.09640E-01
 1.67464E-01 1.33385E-01 1.05838E-01 8.36331E-02 6.57605E-02 5.14362E-02
 3.99857E-02 3.08835E-02 2.36786E-02 1.80115E-02 1.35992E-02 1.01540E-02
 7.50143E-03 5.47912E-03 3.95114E-03 2.81022E-03 1.96751E-03 1.35404E-03
 9.13319E-04 6.02392E-04 3.86279E-04 2.40938E-04 1.43910E-04 8.15632E-05
 4.28257E-05 1.98086E-05 6.95411E-06 3.64368E-07 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 1.63894E+05 1.26530E+05 9.63473E+04 7.33473E+04
 5.58415E+04 4.25025E+04 3.23517E+04 2.46184E+04 1.87347E+04 1.42532E+04
 1.08442E+04 8.24816E+03 6.27396E+03 4.77084E+03 3.62809E+03 2.75822E+03
 2.09708E+03 1.59394E+03 1.21165E+03 9.20787E+02 6.99865E+02 5.31826E+02
 4.04223E+02 3.07190E+02 2.33520E+02 1.77519E+02 1.35028E+02 1.02330E+02
 7.79133E+01 5.93477E+01 4.52571E+01 3.45407E+01 2.64025E+01 2.02250E+01
 1.55174E+01 1.19306E+01 9.20052E+00 7.11468E+00 5.52164E+00 4.29884E+00
 3.36104E+00 2.63657E+00 2.07615E+00 1.63995E+00 1.29968E+00 1.03241E+00
 8.22765E-01 6.55563E-01 5.23723E-01 4.17831E-01 3.33583E-01 2.66005E-01
 2.11829E-01 1.68287E-01 1.33348E-01 1.05281E-01 8.28009E-02 6.48110E-02
 5.04803E-02 3.90842E-02 3.00763E-02 2.29803E-02 1.74266E-02 1.31216E-02
 9.77528E-03 7.20813E-03 5.25874E-03 3.79042E-03 2.69771E-03 1.89234E-03
 1.30742E-03 8.87596E-04 5.91504E-04 3.85319E-04 2.46262E-04 1.52773E-04
 9.20692E-05 5.35502E-05 2.99534E-05 1.59324E-05 7.99596E-06 3.69782E-06
 1.52854E-06 5.15197E-07 1.06128E-07 0.00000E+00 0.00000E+00 0.00000E+00
 0.00000E+00 0.00000E+00 0.00000E+00 2.33044E+05 1.79193E+05 1.35812E+05
 1.02900E+05 7.79616E+04 5.90461E+04 4.47186E+04 3.38550E+04 2.56295E+04
