f2b
     Q          x     CT10       CT10.1 
   GeV                NLO        NNLO (prel.) 
2.000E+00  1.300E-04  1.241E-03  2.191E-03 
2.387E+00  1.300E-04  2.014E-03  3.330E-03 
2.828E+00  1.300E-04  3.204E-03  4.977E-03 
3.362E+00  1.300E-04  5.166E-03  7.469E-03 
2.000E+00  2.000E-04  1.026E-03  1.763E-03 
2.387E+00  2.000E-04  1.686E-03  2.723E-03 
2.828E+00  2.000E-04  2.704E-03  4.116E-03 
3.362E+00  2.000E-04  4.381E-03  6.235E-03 
4.000E+00  2.000E-04  7.115E-03  9.383E-03 
2.000E+00  5.000E-04  6.222E-04  1.024E-03 
2.387E+00  5.000E-04  1.069E-03  1.664E-03 
2.828E+00  5.000E-04  1.768E-03  2.607E-03 
3.362E+00  5.000E-04  2.928E-03  4.059E-03 
4.000E+00  5.000E-04  4.824E-03  6.235E-03 
4.754E+00  5.000E-04  7.722E-03  9.874E-03 
5.657E+00  5.000E-04  1.203E-02  1.431E-02 
6.731E+00  5.000E-04  1.821E-02  2.066E-02 
2.569E+00  1.300E-03  7.100E-04  1.038E-03 
3.633E+00  1.300E-03  2.167E-03  2.871E-03 
4.450E+00  1.300E-03  3.970E-03  4.891E-03 
5.139E+00  1.300E-03  5.885E-03  7.111E-03 
5.745E+00  1.300E-03  7.864E-03  9.365E-03 
6.294E+00  1.300E-03  9.864E-03  1.147E-02 
6.798E+00  1.300E-03  1.185E-02  1.353E-02 
7.267E+00  1.300E-03  1.381E-02  1.553E-02 
7.708E+00  1.300E-03  1.573E-02  1.747E-02 
8.125E+00  1.300E-03  1.761E-02  1.935E-02 
8.522E+00  1.300E-03  1.944E-02  2.116E-02 
8.901E+00  1.300E-03  2.121E-02  2.291E-02 
9.264E+00  1.300E-03  2.292E-02  2.460E-02 
2.000E+00  2.000E-03  1.882E-04  2.594E-04 
2.387E+00  2.000E-03  3.743E-04  5.420E-04 
2.828E+00  2.000E-03  6.910E-04  9.877E-04 
3.362E+00  2.000E-03  1.247E-03  1.707E-03 
4.000E+00  2.000E-03  2.191E-03  2.823E-03 
4.754E+00  2.000E-03  3.671E-03  4.550E-03 
5.657E+00  2.000E-03  5.902E-03  7.116E-03 
6.731E+00  2.000E-03  9.133E-03  1.057E-02 
8.000E+00  2.000E-03  1.354E-02  1.508E-02 
9.513E+00  2.000E-03  1.925E-02  2.078E-02 
1.131E+01  2.000E-03  2.623E-02  2.759E-02 
1.345E+01  2.000E-03  3.425E-02  3.532E-02 
3.362E+00  5.000E-03  5.230E-04  6.343E-04 
4.000E+00  5.000E-03  1.011E-03  1.252E-03 
4.754E+00  5.000E-03  1.818E-03  2.288E-03 
5.657E+00  5.000E-03  3.082E-03  3.898E-03 
6.731E+00  5.000E-03  4.960E-03  6.020E-03 
8.000E+00  5.000E-03  7.564E-03  8.790E-03 
9.513E+00  5.000E-03  1.098E-02  1.232E-02 
1.131E+01  5.000E-03  1.518E-02  1.653E-02 
1.345E+01  5.000E-03  2.001E-02  2.128E-02 
1.600E+01  5.000E-03  2.528E-02  2.643E-02 
1.903E+01  5.000E-03  3.078E-02  3.170E-02 
5.657E+00  1.300E-02  1.177E-03  1.634E-03 
6.731E+00  1.300E-02  2.053E-03  2.721E-03 
8.000E+00  1.300E-02  3.327E-03  4.176E-03 
9.513E+00  1.300E-02  5.055E-03  6.075E-03 
1.131E+01  1.300E-02  7.224E-03  8.377E-03 
1.345E+01  1.300E-02  9.758E-03  1.097E-02 
1.600E+01  1.300E-02  1.255E-02  1.378E-02 
1.903E+01  1.300E-02  1.543E-02  1.664E-02 
2.263E+01  1.300E-02  1.833E-02  1.950E-02 
2.691E+01  1.300E-02  2.114E-02  2.225E-02 
3.200E+01  1.300E-02  2.379E-02  2.485E-02 
1.131E+01  3.200E-02  2.716E-03  3.433E-03 
1.345E+01  3.200E-02  3.838E-03  4.669E-03 
1.600E+01  3.200E-02  5.100E-03  5.933E-03 
1.903E+01  3.200E-02  6.423E-03  7.384E-03 
2.263E+01  3.200E-02  7.755E-03  8.730E-03 
2.691E+01  3.200E-02  9.036E-03  1.002E-02 
3.200E+01  3.200E-02  1.024E-02  1.124E-02 
3.806E+01  3.200E-02  1.136E-02  1.237E-02 
4.525E+01  3.200E-02  1.239E-02  1.340E-02 
5.382E+01  3.200E-02  1.333E-02  1.434E-02 
