NNLO F2b
      x         Q2     central +-  error

   0.00013       2.0  8.697E-04  3.33E-05
   0.00013       2.3  1.067E-03  4.14E-05
   0.00013       2.6  1.307E-03  5.13E-05
   0.00013       3.0  1.597E-03  6.34E-05
   0.00013       3.5  1.947E-03  7.82E-05
   0.00013       4.0  2.368E-03  9.61E-05
   0.00013       4.6  2.874E-03  1.18E-04
   0.00013       5.3  3.481E-03  1.44E-04
   0.00013       6.1  4.205E-03  1.76E-04
   0.00013       7.0  5.067E-03  2.15E-04
   0.00013       8.0  6.093E-03  2.60E-04

  
   0.00020       4.0  1.920E-03  7.50E-05
   0.00020       4.6  2.340E-03  9.25E-05
   0.00020       5.3  2.844E-03  1.14E-04
   0.00020       6.1  3.447E-03  1.39E-04
   0.00020       7.0  4.167E-03  1.70E-04
   0.00020       8.0  5.026E-03  2.05E-04
   0.00020       9.2  6.041E-03  2.50E-04
   0.00020      10.6  7.236E-03  3.04E-04
   0.00020      12.1  8.644E-03  3.66E-04
   0.00020      13.9  1.029E-02  4.39E-04
   0.00020      16.0  1.220E-02  5.25E-04


   0.00050       8.0  3.204E-03  1.22E-04
   0.00050       9.4  4.001E-03  1.54E-04
   0.00050      11.0  4.973E-03  1.94E-04
   0.00050      13.0  6.149E-03  2.42E-04
   0.00050      15.2  7.562E-03  3.01E-04
   0.00050      17.9  9.251E-03  3.71E-04
   0.00050      21.0  1.125E-02  4.55E-04
   0.00050      24.7  1.359E-02  5.55E-04
   0.00050      29.0  1.631E-02  6.71E-04
   0.00050      34.1  1.945E-02  8.05E-04
   0.00050      40.0  2.303E-02  9.59E-04


   0.00130      12.0  3.314E-03  1.18E-04
   0.00130      14.3  4.220E-03  1.53E-04
   0.00130      17.1  5.333E-03  1.95E-04
   0.00130      20.4  6.682E-03  2.48E-04
   0.00130      24.3  8.303E-03  3.11E-04
   0.00130      29.0  1.023E-02  3.86E-04
   0.00130      34.6  1.248E-02  4.75E-04
   0.00130      41.2  1.509E-02  5.78E-04
   0.00130      49.2  1.807E-02  6.95E-04
   0.00130      58.7  2.143E-02  8.29E-04
   0.00130      70.0  2.517E-02  9.76E-04


   0.00200      12.0  2.535E-03  8.53E-05
   0.00200      15.1  3.509E-03  1.21E-04
   0.00200      19.0  4.784E-03  1.69E-04
   0.00200      23.9  6.419E-03  2.30E-04
   0.00200      30.1  8.472E-03  3.07E-04
   0.00200      37.9  1.100E-02  4.03E-04
   0.00200      47.8  1.403E-02  5.18E-04
   0.00200      60.1  1.760E-02  6.53E-04
   0.00200      75.7  2.168E-02  8.07E-04
   0.00200      95.3  2.625E-02  9.78E-04
   0.00200     120.0  3.123E-02  1.16E-03


   0.00500      25.0  3.758E-03  1.17E-04
   0.00500      31.5  5.053E-03  1.62E-04
   0.00500      39.6  6.655E-03  2.17E-04
   0.00500      49.9  8.585E-03  2.86E-04
   0.00500      62.8  1.085E-02  3.65E-04
   0.00500      79.1  1.344E-02  4.54E-04
   0.00500      99.5  1.633E-02  5.52E-04
   0.00500     125.3  1.946E-02  6.56E-04
   0.00500     157.7  2.283E-02  7.67E-04
   0.00500     198.6  2.633E-02  8.78E-04
   0.00500     250.0  2.994E-02  9.91E-04


   0.01300      80.0  6.995E-03  1.97E-04
   0.01300      99.4  8.531E-03  2.44E-04
   0.01300     123.5  1.018E-02  2.93E-04
   0.01300     153.4  1.195E-02  3.46E-04
   0.01300     190.5  1.378E-02  3.95E-04
   0.01300     236.6  1.567E-02  4.46E-04
   0.01300     294.0  1.757E-02  4.98E-04
   0.01300     365.2  1.947E-02  5.41E-04
   0.01300     453.6  2.136E-02  5.85E-04
   0.01300     563.5  2.323E-02  6.23E-04
   0.01300     700.0  2.506E-02  6.58E-04


   0.03200     200.0  6.567E-03  1.87E-04
   0.03200     257.5  7.692E-03  2.07E-04
   0.03200     331.4  8.821E-03  2.28E-04
   0.03200     426.7  9.934E-03  2.48E-04
   0.03200     549.3  1.102E-02  2.67E-04
   0.03200     707.1  1.207E-02  2.84E-04
   0.03200     910.3  1.309E-02  3.01E-04
   0.03200    1171.8  1.408E-02  3.18E-04
   0.03200    1508.5  1.503E-02  3.34E-04
   0.03200    1942.0  1.596E-02  3.52E-04
   0.03200    2500.0  1.687E-02  3.71E-04

