7    0.00018   0.25   0.04    .02  .02     .03  .04
7    0.0005    0.154  0.014   .013 .007    .025 .013
7    0.0016    0.0855 0.009   .007 .005    .012 .010
18   0.0005    0.35   0.04    .02  .02     .03  .05
18   0.00135   0.20   0.013   .011 .014    .015 .012
18   0.0025    0.163  0.011   .011 .011    .017 .012
32   0.0008    0.37   0.06    .03  .03     .02  .03
32   0.0014    0.27   0.02    .017 .019    .015 .014
32   0.0032    0.213  0.02    .014 .017    .013 .020
60   0.0014    0.28   0.05    .03  .03     .02  .01
60   0.0032    0.216  0.021   .016 .018    .01  .011
60   0.008     0.14   0.023   .010 .012    .013 .009
200  0.005     0.22   0.04    .02  .02     .01  .01
200  0.013     0.178  0.027   .01  .012    .011 .009
