   7. 0.00160    -5.6     8.3    14.2    -6.5     0.2     0.6     7.5    -4.5     0.6    -0.2     0.0
   7. 0.00080     1.0     0.3     7.8    -3.9     0.6    -0.3     6.1    -3.5     1.3    -1.3     0.3
   7. 0.00050     2.0    -1.3     5.0    -3.2     0.8     0.1     6.5    -2.9     1.8    -1.3     0.6
   7. 0.00030     3.3    -3.2     0.2    -1.4     1.2    -0.9     5.9    -2.6     2.2    -2.5     1.0
   7. 0.00013     5.7    -3.7    -6.3     4.7     2.5    -1.6     5.9    -2.4     4.2    -4.0     2.2
  12. 0.00300    -6.2     9.5    14.5    -6.5     0.0     1.4     8.0    -3.6     0.1     1.6     0.0
  12. 0.00150    -1.1     0.1     7.8    -5.4    -0.6    -0.1     5.3    -3.3    -0.1    -0.7     0.3
  12. 0.00080     0.8    -0.6     5.7    -3.8     0.1    -0.1     5.5    -2.5     1.0    -0.9     0.7
  12. 0.00050     2.2    -2.5     2.0    -2.5     0.0    -0.5     5.0    -2.4     1.2    -1.9     1.2
  12. 0.00022     3.9    -3.2    -4.4     3.1     1.7    -1.6     5.4    -2.2     1.8    -3.1     2.2
  18. 0.00450    -6.1     8.8    12.9    -6.5     0.7     0.9     6.2    -3.2    -1.0     1.1     0.1
  18. 0.00250    -0.9     0.3     7.0    -5.7    -0.6     0.4     3.7    -3.2    -0.6    -0.3     0.4
  18. 0.00135     0.8    -0.4     6.1    -4.4     0.1     0.6     4.8    -2.4     0.6    -0.5     0.8
  18. 0.00080     1.0    -1.5     3.2    -4.0     0.3     0.3     4.4    -1.9     0.7    -0.9     1.8
  18. 0.00035     2.7    -3.0    -3.7     1.8     1.0    -1.0     4.5    -2.5     1.4    -2.9     3.0
  32. 0.00800    -7.3     8.4    10.7    -7.0    -0.5     0.6     5.1    -3.5    -1.7     0.3     0.1
  32. 0.00550    -0.0     1.3     8.4    -5.8    -0.3     0.5     3.2    -1.9    -0.3     0.3     0.3
  32. 0.00240     0.5     0.5     6.4    -3.6     0.3    -0.1     3.9    -1.7     0.0    -0.2     0.9
  32. 0.00140     1.3    -0.5     4.6    -3.5     0.1     0.2     3.9    -1.6     0.6    -0.4     2.0
  32. 0.00080     3.0    -2.9    -1.6    -0.4     0.5    -0.8     3.6    -2.2     1.1    -2.2     2.9
  60. 0.01500    -6.5     9.3    10.0    -5.2     0.4     0.6     6.2    -1.8     0.4     1.6     0.0
  60. 0.00800    -1.7     0.6     6.0    -4.8    -0.7    -0.3     2.3    -1.9    -0.6    -0.1     0.9
  60. 0.00500     0.8    -0.2     5.2    -3.9    -0.0     0.1     2.7    -1.4     0.3    -0.3     2.4
  60. 0.00320     1.4    -0.9     5.0    -3.7    -0.2    -0.1     2.8    -1.6     0.0    -0.4     2.9
  60. 0.00140     1.8    -2.4     1.3    -1.5    -0.0    -0.1     2.8    -1.8     0.6    -1.3     4.8
 120. 0.01000     0.8     0.2     5.3    -4.6     0.1     0.4     2.3    -1.5     0.3     0.0     4.2
 120. 0.00200     1.3    -0.8     2.3    -2.0    -0.5     0.4     1.9    -1.3     0.8    -1.0     7.2
 200. 0.01300    -0.1    -0.1     3.8    -3.7    -0.1     0.4     1.4    -0.9     0.0     0.1     4.1
 200. 0.00500     1.3    -1.9     3.8    -3.8    -0.6    -0.3     1.2    -1.5     0.1    -0.1     7.5
 350. 0.02500     0.4    -0.5     3.4    -3.8    -0.0    -0.4     1.2    -0.7    -0.4     0.4     5.1
 350. 0.01000     1.3    -0.2     3.7    -2.8     0.3     0.0     0.9    -0.6     0.1     0.0    10.6
